id,date,speaker,claims,label
27,2003,H.E. John Agyekum Kufuor,This persistent under-pricing resulted in the Tema Oil Refinery (TOR) accumulating a debt that currently exceeds the primary capital of the country’s entire banking system.,1
28,2003,H.E. John Agyekum Kufuor,Government decided there must be no further accumulation of debt and that the TOR debt must be paid within a reasonable period.,1
29,2003,H.E. John Agyekum Kufuor,Government also decided that the management of TOR should be made to be more efficient and the industry to be progressively opened to Private Sector participation.,1
30,2003,H.E. John Agyekum Kufuor,A new independent institution will henceforth be responsible for fixing maximum allowable prices for petroleum products.,1
31,2003,H.E. John Agyekum Kufuor,Government will no longer have a hand in the fixing of prices.,1
32,2003,H.E. John Agyekum Kufuor,"In the past two years, any objective observer will accept that the nation has made some gains.",1
33,2003,H.E. John Agyekum Kufuor,"Work has finally started on the construction of the arterial roads out of Accra - Accra-Aflao, Accra-Kumasi, Accra-Mamfe and in a few weeks' time, work will start on the Accra-Cape Coast road.",0
34,2003,H.E. John Agyekum Kufuor,"These are the Bole-Bamboi road, which begins in Wenchi in Brong Ahafo and continues through the Northern Region, all the way to Wa in the Upper West Region; the Sekondi-Inchaban road, which was inexplicably abandoned all these decades; the Asankragwa-Enchi road; and the Jasikan-Brewaniase Road, which links the Volta Region to the North.",1
35,2003,H.E. John Agyekum Kufuor,"Work is in progress, building and rehabilitating the city and town roads as well as the feeder road network in fulfilment of government commitment to open up the country.",1
36,2003,H.E. John Agyekum Kufuor,"After years of disgraceful neglect, the roads in the Western Region, perhaps the richest region in the country, are now getting the attention they deserve.",1
37,2003,H.E. John Agyekum Kufuor,"This year, a total amount of almost two trillion cedis, the equivalent of about $250m will be spent on road construction.",1
38,2003,H.E. John Agyekum Kufuor,"Out of this amount, the Ghana government component is about ¢422bn. In other words, only about 22% will come from our own resources.",1
39,2003,H.E. John Agyekum Kufuor,"The daily carnage on our roads is taking a heavy and tragic toll. As we gather here, two members of this honourable house lie dead as a result of road accidents.",1
40,2003,H.E. John Agyekum Kufuor,The state of the roads is a big factor in these accidents.,1
41,2003,H.E. John Agyekum Kufuor,The Road Development Levy and the tolling arrangements are going to be enforced in the earnest by government.,1
42,2003,H.E. John Agyekum Kufuor,The mechanisation of agriculture will take the backbreaking drudgery out of farming and retain the interest of the youth on the land.,0
43,2003,H.E. John Agyekum Kufuor,Rural development is the way forward for over 50 per cent of our people who live in the rural areas.,1
44,2003,H.E. John Agyekum Kufuor,"The Budget that is about to presented by the Minister of Finance later this month, will reflect this determination by government to develop the rural areas by modernizing agriculture.",1
45,2003,H.E. John Agyekum Kufuor,Government will give support for the diversification of the crops grown by our farmers.,1
46,2003,H.E. John Agyekum Kufuor,More irrigation and water harvesting and conservation project will be continued to free agriculture from the near total dependency on the weather.,1
47,2003,H.E. John Agyekum Kufuor,"The forestry programme has been given fresh impetus adding seventeen thousand hectares to Ghana’s forest cover last year, and creating 76,000 jobs in the rural areas.",1
48,2003,H.E. John Agyekum Kufuor,"Work has started on the project to upgrade one Senior Secondary School in each district, and thirty of them will be completed this year.",1
49,2003,H.E. John Agyekum Kufuor,"The number of people in teacher training colleges has risen to 8,500 from a low of 6,000 in the year 2000.",1
50,2003,H.E. John Agyekum Kufuor,Sporting activities are healthy for the youth and competitive sports are good for the development of character.,1
51,2003,H.E. John Agyekum Kufuor,Talks are ongoing with the Chinese government for the building of modern stadia and other sporting facilities around the country.,1
52,2003,H.E. John Agyekum Kufuor,The Health Insurance Scheme is ready to be launched nationwide.,1
53,2003,H.E. John Agyekum Kufuor,Government has decided to provide the seed money for all the 110 districts around the country.,1
54,2003,H.E. John Agyekum Kufuor,The Police Service is being reinvigorated.,1
55,2003,H.E. John Agyekum Kufuor,"The aim is to increase Police numbers by 4,000 within the next two years.",1
56,2003,H.E. John Agyekum Kufuor,"This year, some 600 vehicles with communication equipment have been provided for the Service.",1
57,2003,H.E. John Agyekum Kufuor,Government has approved proposals for a National Identification System for implementation.,1
58,2003,H.E. John Agyekum Kufuor,The aim is for all citizens to have a National Identity Card by the end of next year.,1
59,2003,H.E. John Agyekum Kufuor,The Wuaku Commission has presented its report.,1
60,2003,H.E. John Agyekum Kufuor,Government is implementing the recommendations in the White Paper issued.,1
61,2003,H.E. John Agyekum Kufuor,The factory for the pilot Cassava Starch project at Bawjiase will be commissioned in April.,1
62,2003,H.E. John Agyekum Kufuor,A Garment Village is being built at the Tema Export Processing Zone for 112 factories to operate under the Textile and Garment Initiative.,1
63,2003,H.E. John Agyekum Kufuor,Fifty of the factories will be completed by the end of the year.,0
64,2003,H.E. John Agyekum Kufuor,"The Special Initiatives on Salt, Oil Palm and Cotton are due to take off this year.",1
65,2003,H.E. John Agyekum Kufuor,"Government has sourced $40m, which venturists are accessing to develop the salt business.",1
66,2003,H.E. John Agyekum Kufuor,"The high-powered Committee appointed to set up the Oil Palm Initiative has earmarked 100,000 hectares of land to be planted over the next five years.",1
67,2003,H.E. John Agyekum Kufuor,Talks are far advanced with a Mauritius company to set up a sub-regional cotton-processing factory in Ghana with an initial investment of $67m.,1
68,2003,H.E. John Agyekum Kufuor,"It is estimated conservatively that when these initiatives mature, within the next three to five years, they will contribute something in the region of $6 to $10bn annually to the GDP.",0
69,2003,H.E. John Agyekum Kufuor,Newmont Mining is commencing operations in Ghana to develop two mines in August.,1
70,2003,H.E. John Agyekum Kufuor,The initial investment will be $450m and will provide 500 direct jobs.,1
71,2003,H.E. John Agyekum Kufuor,"The Bank of Ghana has reported that last year such private inward transfers amounted to $1.3bn, showing over 200% increase over previous years.",1
72,2003,H.E. John Agyekum Kufuor,"A Redevelopment Project for Old Accra, designed by Government and UNESCO, is due to be launched later this month.",1
73,2003,H.E. John Agyekum Kufuor,I was struck by the steely determination of the people of these countries to take advantage of all that modernity has to offer in the drive to create wealth for themselves.,1
74,2007,H.E. John Agyekum Kufuor,The Constitution of the Fourth Republic prescribes that the President of the Republic delivers to Parliament a message on the state of the nation at the beginning of each session.,1
75,2007,H.E. John Agyekum Kufuor,"It is sad again that they have resorted to this course of action, apparently in reaction to the judgement of a duly constituted court of law.",1
76,2007,H.E. John Agyekum Kufuor,"The due process of going through appeals, as provided for by the Constitution, is yet to be exhausted, in this particular case.",1
77,2007,H.E. John Agyekum Kufuor,"About two weeks ago, our own brother and compatriot, Mr Kofi Annan, who has successfully completed two terms as Secretary-General of the UN Organisation returned home to Ghana to a hero’s welcome.",1
78,2007,H.E. John Agyekum Kufuor,"When the 2006 budget was read in November 2005, many thought the practice would be a nine-day wonder.",1
79,2007,H.E. John Agyekum Kufuor,My government assumed office in 2001 and had its mandate renewed for a second term in 2004.,1
80,2007,H.E. John Agyekum Kufuor,"The government’s assessment of the nation’s political, economic and social conditions of the state indicates that, on balance, GHANA, THE BLACK STAR OF AFRICA, IS ON THE RISE AGAIN.",1
81,2007,H.E. John Agyekum Kufuor,The energy crisis that is plaguing industrial and economic activities.,1
82,2007,H.E. John Agyekum Kufuor,"The low salaries, wages and productivity, with their attendant high unemployment within the economy.",1
83,2007,H.E. John Agyekum Kufuor,"Our path to success is benchmarked by our national vision of attaining a middle income status through a growth rate of 8% GDP annually, which translates to over US$1,000 per capita income within the next decade.",1
84,2007,H.E. John Agyekum Kufuor,This vision also coincides with the Millennium Development Goals set by the UN to reduce global poverty by half by the year 2015.,1
85,2007,H.E. John Agyekum Kufuor,Ghana is being acknowledged as among the leaders in the pursuit of these goals.,1
86,2007,H.E. John Agyekum Kufuor,The problem of inadequate energy supply has crept up on the nation since the construction of the Akosombo dam.,1
87,2007,H.E. John Agyekum Kufuor,The first signs that this belief was naive appeared toward the mid 1980s when the nation suffered the first load shedding from Akosombo.,1
88,2007,H.E. John Agyekum Kufuor,There was a recurrence after the mid 1990s.,1
89,2007,H.E. John Agyekum Kufuor,"Fuelled by crude oil, these plants have proved extremely costly to run.",1
90,2007,H.E. John Agyekum Kufuor,Government decided to find long-term solutions to this problem on assumption of office in 2001.,1
91,2007,H.E. John Agyekum Kufuor,Government initiated action to raise US$40 million for the commencement in 2003 of the construction of the West African Gas Pipeline project.,1
92,2007,H.E. John Agyekum Kufuor,"The project, which will produce large volumes of relatively cheaper and sustainable source of energy, was expected to be operational by December last year.",0
93,2007,H.E. John Agyekum Kufuor,Unfortunately there has been some constructional delay and is now programmed to be operational in August this year.,0
94,2007,H.E. John Agyekum Kufuor,"Within the next fortnight, Ghana will benefit from supplies from Nigeria and Cote D’Ivoire to the tune of 200 megawatts.",1
95,2007,H.E. John Agyekum Kufuor,The Volta River Authority is poised to establish a 300 megawatt plant in Tema.,1
96,2007,H.E. John Agyekum Kufuor,The same company is building another emergency plant to supply 126 megawatts of power by August this year.,0
97,2007,H.E. John Agyekum Kufuor,The Osagyefo Power barge which has been standing idle will be empowered to produce 120 megawatts in the course of the year.,1
98,2007,H.E. John Agyekum Kufuor,"A private sector Ghanaian-Chinese joint venture company is in the offing to produce, in two phases, up to 600 megawatts of power by the end of next year.",1
99,2007,H.E. John Agyekum Kufuor,Government has also contracted three American companies to produce up to 110 megawatts by the end of April this year.,1
100,2007,H.E. John Agyekum Kufuor,This arrangement would altogether provide at least 500 megawatts which is far in excess of the present shortfall to end the outages strategies next month.,0
101,2007,H.E. John Agyekum Kufuor,"The consortium of mining companies has offered to build a plant at Tema, to be completed by June, to supply 80 additional megawatts of power.",1
102,2007,H.E. John Agyekum Kufuor,"Government has initiated action to build another hydro-electric dam, the Bui dam.",0
103,2007,H.E. John Agyekum Kufuor,The Bui dam is designed to generate 400 megawatts of electricity in the Brong Ahafo Region.,1
104,2007,H.E. John Agyekum Kufuor,"Within the next five years, the energy level will be doubled in capacity to cater for the industrial and economic requirements of the nation for the next 20 years.",1
105,2007,H.E. John Agyekum Kufuor,"Efforts are on-going to find alternative sources like solar, wind as well as biological plants like the jetropha whose seed is used to produce diesel oil.",1
106,2007,H.E. John Agyekum Kufuor,This nation has registered very impressive achievements during the past six years in the management of its macro-economy.,1
107,2007,H.E. John Agyekum Kufuor,"From 40.5% in 2000, inflation now stands at 10.2%.",1
108,2007,H.E. John Agyekum Kufuor,The commercial banks’ lending rate which stood at over 50% five years ago is now around 20% and is still falling.,1
109,2007,H.E. John Agyekum Kufuor,The Cedi has stabilised and maintained its value against major currencies.,1
110,2007,H.E. John Agyekum Kufuor,Increased remittances from Ghanaians living abroad totalled over US$4 billion last year.,1
111,2007,H.E. John Agyekum Kufuor,"4 new banks, Guaranty Trust, Fidelity, Zenith and Intercontinental, have been established within the past 2 years.",1
112,2007,H.E. John Agyekum Kufuor,"The bill for the establishment of an International Financial Services Centre, a partnership between the Government of Ghana and the Barclays Bank, is ready to be placed before your house.",1
113,2007,H.E. John Agyekum Kufuor,The operation of Newmont Gold mine at Kenyasi in the Brong Ahafo Region has already poured its first gold.,1
114,2007,H.E. John Agyekum Kufuor,Barry Callebaut Ghana has also installed a new multi-million dollar cocoa processing line to expand its product range.,1
115,2007,H.E. John Agyekum Kufuor,"Cargill International, a US company, has started the construction of a new Cocoa Processing Facility in Tema, involving over US$50 million in new investments.",1
116,2007,H.E. John Agyekum Kufuor,"Last year, I appointed a Minister to oversee the critical reforms needed in the Public Sector.",1
117,2007,H.E. John Agyekum Kufuor,Government adopted a new wage reform policy to set up a framework to ensure equal pay for work of equal value across the spectrum of the Public Sector.,1
118,2007,H.E. John Agyekum Kufuor,"A Fair Wages Commission has been set up to rationalise the entire sector’s salaries by removing distortions which, in the past caused confusion and disaffection among Public Servants.",1
119,2007,H.E. John Agyekum Kufuor,"Government is embarking on ambitious schemes in capacity building, skills acquisition, vocational training and application of science and technology.",1
120,2007,H.E. John Agyekum Kufuor,"The New Educational Reform is to be launched in September, this year.",1
121,2007,H.E. John Agyekum Kufuor,"Following the introduction of measures like the Capitation Grant, School Feeding Programme, and School Bussing Programme, great strides have been made in school enrolments.",1
122,2007,H.E. John Agyekum Kufuor,It is expected that by the year 2015 Ghana would have reached 100% enrolment of pupils.,1
123,2007,H.E. John Agyekum Kufuor,"Government will commission the first batch of model Secondary Schools, numbering thirty-one (31), that have had their facilities upgraded.",1
124,2007,H.E. John Agyekum Kufuor,"Contracts for the second phase of the upgrading programme, involving twenty-five (25) schools, have also been awarded; and construction has begun in many places.",1
125,2007,H.E. John Agyekum Kufuor,"Government is embarking on an accelerated programme of construction, rehabilitation and equipping of technical and vocational institutes, and polytechnics throughout the country.",1
126,2007,H.E. John Agyekum Kufuor,"Government acknowledges the contribution of the Private Sector in tertiary education, especially the sprouting of universities established by religious bodies.",1
127,2007,H.E. John Agyekum Kufuor,"A scholarship scheme has been fashioned under the GetFund Manpower Development Scholarship Scheme, to train faculty.",1
128,2007,H.E. John Agyekum Kufuor,"In 2005/2006, some 60 faculty of tertiary institutions were sponsored for overseas training.",1
129,2007,H.E. John Agyekum Kufuor,Government is committed to upgrading all the 38 Teacher Training Colleges in the country.,1
130,2007,H.E. John Agyekum Kufuor,A diploma programme was introduced in Teacher Training Colleges in the 2003/04 academic year.,1
131,2007,H.E. John Agyekum Kufuor,"15 colleges have been selected for extra specialisation in the teaching and learning of science, mathematics and technology.",1
132,2007,H.E. John Agyekum Kufuor,Vehicles and teaching and learning materials have been provided to all teacher training colleges.,1
133,2007,H.E. John Agyekum Kufuor,Work on the establishment of two Bio-technology Centres and a National Accelerator Laboratory will commence.,1
134,2007,H.E. John Agyekum Kufuor,Construction of a Library and Computer Centre for the newly established College of Nuclear Sciences will also begin.,1
135,2007,H.E. John Agyekum Kufuor,The construction of two new stadia at Sekondi and Tamale is on schedule and the rehabilitation of the Accra and Kumasi stadia is also progressing steadily.,1
136,2007,H.E. John Agyekum Kufuor,Arrangements for funding to support the construction of the Cape Coast stadium are being finalized and construction is expected to commence in the course of this year.,1
137,2007,H.E. John Agyekum Kufuor,The National Youth Employment Programme which was launched during the latter part of last year remains on course.,1
138,2007,H.E. John Agyekum Kufuor,"Government has caused boreholes, hand-dug wells and pipe systems in their hundreds to be constructed for rural water delivery.",1
139,2007,H.E. John Agyekum Kufuor,A 36.9 million Euro project to bring water from the Pra River at Hemang is 58% complete.,1
140,2007,H.E. John Agyekum Kufuor,"When commissioned in November this year, water shortages in Cape Coast and its environs will be a thing of the past.",1
141,2007,H.E. John Agyekum Kufuor,Rehabilitation of the water treatment plant at Kwanyaku is about 95% complete and should be commissioned before June this year.,1
142,2007,H.E. John Agyekum Kufuor,The project will provide potable water to meet demand into 2020 for Mankessim and towns in the area.,1
143,2007,H.E. John Agyekum Kufuor,"In Tamale, in the Northern Region, a 45.0 million Euro water project is scheduled for completion in 2008.",1
144,2007,H.E. John Agyekum Kufuor,"It will increase production capacity to 9.3 million gallons daily, enough to meet demand up to 2015.",1
145,2007,H.E. John Agyekum Kufuor,"Further, in the Eastern Region, another 35.8 million Euro project in Koforidua is to be completed in early 2008.",1
146,2007,H.E. John Agyekum Kufuor,"It will have an output of 3 million gallons a day, to meet demand up to 2025.",1
147,2007,H.E. John Agyekum Kufuor,The Accra East-West Interconnection which is on-going and should be completed in 2008.,1
148,2007,H.E. John Agyekum Kufuor,"It is designed to transport water from Weija to the Okponglo booster station to augment supply to Adenta, Madina, East Legon, Ashaley Botwe, Kwabenya, Asongman and Dome.",1
149,2007,H.E. John Agyekum Kufuor,Government is negotiating a credit line for work to start in the second quarter of 2007 to desilt the Kpong Dam.,1
150,2007,H.E. John Agyekum Kufuor,The fight against water borne diseases has a better chance of success than ever before.,1
151,2007,H.E. John Agyekum Kufuor,"As at the close of 2006, the number of District Mutual Health Insurance Schemes stood at 134, 11 more than the previous year.",1
152,2007,H.E. John Agyekum Kufuor,34% of the population had registered by the end of the year; 25% had either paid up their premiums fully or belonged to exempt groups; and close to 18% had been issued with ID cards.,1
153,2007,H.E. John Agyekum Kufuor,"This year, the Scheme is expected to achieve 55% coverage.",1
154,2007,H.E. John Agyekum Kufuor,The fight against HIV/AIDS is succeeding and the prevalence rate is down to 2.7% from 3.1% last year.,1
155,2007,H.E. John Agyekum Kufuor,100 per cent coverage for measles immunisation in children is the national profile.,1
156,2007,H.E. John Agyekum Kufuor,Emergency and Ambulance Services have benefited from the strategic distribution of 50 ambulances and the establishment of 20 accident stations in 8 regions of the country.,1
157,2007,H.E. John Agyekum Kufuor,A fully operational National Accident and Emergency Centre is also coming up at the Komfo Anokye Teaching Hospital in Kumasi.,1
158,2007,H.E. John Agyekum Kufuor,The National Youth Employment Programme which was launched during the latter part of last year remains on course.,1
159,2007,H.E. John Agyekum Kufuor,MASLOC has offices in all regional capitals and is in the process of establishing 345 sub-district desks throughout the country.,1
160,2007,H.E. John Agyekum Kufuor,"The cocoa industry recorded the highest production ever, of over 740,000 tonnes, during the 2005-2006 cocoa seasons.",1
161,2007,H.E. John Agyekum Kufuor,The target of COCOBOD is to hit the one million tonnes mark within the next 3 years.,1
162,2007,H.E. John Agyekum Kufuor,One of the highlights of the year 2006 was the signing in Washington of the Compact of the US Millennium Challenge Account between Ghana and the US.,1
163,2007,H.E. John Agyekum Kufuor,This has made Ghana beneficiary to an amount of US$ 547 million.,1
164,2007,H.E. John Agyekum Kufuor,"The programme is expected to generate allied businesses like storage and warehousing, sales and marketing, transportation and processing and thereby create more than 2 million jobs for individuals both within and outside the project districts.",1
165,2007,H.E. John Agyekum Kufuor,This government initiated the President’s Special Initiative (PSIs) to promote the policy of making Ghana a leading agro-industrial nation.,0
166,2007,H.E. John Agyekum Kufuor,The Ayensu Starch Factory which was established at Bawjiase in the Central Region fell on poor supplies of the raw material and uncommitted personnel.,1
167,2007,H.E. John Agyekum Kufuor,"The PSI for Oil Palm, 50,000 acres of nurseries have been frustrated by poor flow of working capital.",1
168,2007,H.E. John Agyekum Kufuor,"Under the PSI for Garments and Textiles, 9 factories have already been established, with capacity to employ almost 4,000 people.",1
169,2007,H.E. John Agyekum Kufuor,"10 new factory units are also being established in Kumasi, Koforidua and Tema.",1
170,2007,H.E. John Agyekum Kufuor,The primary export destination for the garment products is the United States of America under the AGOA Initiative.,1
171,2007,H.E. John Agyekum Kufuor,"This year, a major conference of all the countries enjoying the AGOA status is being held under the joint auspices of the governments of US and Ghana, in Accra.",1
172,2007,H.E. John Agyekum Kufuor,"This year, some producers under the PSI for Salt are making major strides with their ventures.",1
173,2007,H.E. John Agyekum Kufuor,"The Pwalugu Tomato Factory has been rehabilitated and will resume production this year, with over 1,300 farmers being supported to cultivate tomato to feed the factory.",1
174,2007,H.E. John Agyekum Kufuor,"The old Juapong Textiles Company is currently being re-activated with some Chinese company and will also commence full scale operations in April this year, employing about 800 people initially.",1
175,2007,H.E. John Agyekum Kufuor,"Government is extending a network of roads to all the corners of the country, and even beyond to link us to our immediate neighbours in the sub-region of West Africa.",1
176,2007,H.E. John Agyekum Kufuor,The work that has been done in this respect in the past six years is phenomenal.,1
177,2007,H.E. John Agyekum Kufuor,Our vision is to make Ghana the hub of the sub-region with respect to aviation.,1
178,2007,H.E. John Agyekum Kufuor,"The ongoing developments of the Kotoka airport will continue and the regional airports such as Kumasi, Sunyani Bolga and Wa are all to be brought up to standard.",1
179,2007,H.E. John Agyekum Kufuor,"The Government has secured from the Government of China, a concessionary loan facility of $30 million to construct a national Fibre Optic Communication Backbone.",1
180,2007,H.E. John Agyekum Kufuor,Government has secured another facility of $40 million from the World Bank towards the Ghana project.,1
181,2007,H.E. John Agyekum Kufuor,"From a figure of 215,000 subscribers in 2001, the number has shot up to about 4.5 million as of September 2006.",1
182,2007,H.E. John Agyekum Kufuor,Government intends to create a more competitive market structure by privatizing WESTEL and Ghana Telecom in the course of this year.,1
183,2007,H.E. John Agyekum Kufuor,The implementation of the National Identification System has reached a critical stage.,1
184,2007,H.E. John Agyekum Kufuor,Mass Registration is about to take place for the realization of this objective in the first quarter of this year.,1
185,2007,H.E. John Agyekum Kufuor,A Bill will be presented to Parliament with a view to regulating the processes of the National Identification System.,1
186,2007,H.E. John Agyekum Kufuor,"The citizens identity card will address most of the issues of national concern including the need for reliable data for national planning, for poverty reduction programmes, control of fraud, school enrolment and planning, issuance of passports and drivers’ licence, identification of customers at banks and even for disaster management.",1
187,2007,H.E. John Agyekum Kufuor,This government has invested huge sums of money in training and equipping the police and also in increasing the numerical strength of the staff to enhance the quality of policing and the law and order situation in the country.,1
188,2007,H.E. John Agyekum Kufuor,"In 2006 alone, 3,547 new police personnel were recruited into the service.",1
189,2007,H.E. John Agyekum Kufuor,Our policies are yielding results both locally and internationally.,1
190,2007,H.E. John Agyekum Kufuor,"Last year, Ghana had the honour of chairing the UN Security council.",1
191,2007,H.E. John Agyekum Kufuor,"At the African Union Summit in Addis Ababa, Ghana was elected unanimously to the Chair.",1
192,2007,H.E. John Agyekum Kufuor,Work has begun on a Presidential Complex at Flagstaff House.,1
193,2007,H.E. John Agyekum Kufuor,"By the end of the year, God willing, the Presidential Complex project would be completed.",1
194,2007,H.E. John Agyekum Kufuor,Refurbishment of Peduase Lodge is also on course.,1
195,2007,H.E. John Agyekum Kufuor,"Ghana was ushered into independence on March 6, 1957.",1
196,2008,H.E. John Agyekum Kufuor,"New FIFA rankings were released just yesterday, with Ghana ranked first in Africa and 14th in the world.",1
197,2008,H.E. John Agyekum Kufuor,"In 2001, the nation was forced by difficult circumstances to make the most pragmatic but by no means popular choice of adopting the HIPC Initiative.",1
198,2008,H.E. John Agyekum Kufuor,The economy was entrapped by incredibly high levels of inflation of over 40% and interest rates of over 50%.,1
199,2008,H.E. John Agyekum Kufuor,The Cedi was in a dangerous free fall while TOR was smarting under crushing debts.,1
200,2008,H.E. John Agyekum Kufuor,Ghana is now solvent and the economy is strong and resilient.,1
201,2008,H.E. John Agyekum Kufuor,The successful and spectacular issuance of a Euro-bond on the London Stock Exchange raised USD750 million for infrastructural development.,1
202,2008,H.E. John Agyekum Kufuor,This bond was over-subscribed by over USD3 billion.,1
203,2008,H.E. John Agyekum Kufuor,"The price of crude oil has been sky-rocketing since last year, from USD50 to USD100 per barrel.",1
204,2008,H.E. John Agyekum Kufuor,"The dramatic re-denomination of the Cedi without incident exchanged 10,000 old Cedi to one dollar.",1
205,2008,H.E. John Agyekum Kufuor,The World Bank’s rating of Ghana as the most attractive place to do business in the emerging markets.,1
206,2008,H.E. John Agyekum Kufuor,"The GDP, even in the face of many difficulties, has moved beyond 6.5% currently, and is expected to pass the 8% mark within the next 3 years.",1
207,2008,H.E. John Agyekum Kufuor,The discovery of oil in commercial quantities is estimated to be over 3 billion barrels.,1
208,2008,H.E. John Agyekum Kufuor,"From 2001, using resources from the HIPC Fund, Budget Allocation and the GETfund, government launched a programme to rehabilitate broken down educational institutions from basic through secondary to tertiary level.",1
209,2008,H.E. John Agyekum Kufuor,Ghana’s School Feeding Programme has become a model for other developing nations around the world.,1
210,2008,H.E. John Agyekum Kufuor,"The implementation of the constitutional provision of Free Compulsory Universal Basic Education (FCUBE) has been launched with this programme, so that from the age of four to sixteen, all Ghanaian children must stay in school at the expense of the state.",1
211,2008,H.E. John Agyekum Kufuor,All the 38 Teacher Training Colleges are being upgraded into diploma awarding institutions.,1
212,2008,H.E. John Agyekum Kufuor,"15 of them have been designated science colleges to provide specialist education for Science, Mathematics and Technology teachers.",1
213,2008,H.E. John Agyekum Kufuor,Government policy is to build Vocational and Technical institutes in every district.,1
214,2008,H.E. John Agyekum Kufuor,"Currently, the main driving force of health delivery is captured in the adage 'prevention is better than cure.'",1
215,2008,H.E. John Agyekum Kufuor,"Over 9,000,000 individuals, representing 48% of the population, are full members of the National Health Insurance Scheme.",0
216,2008,H.E. John Agyekum Kufuor,The relentless fight against the spread of HIV/AIDS resulted in a modest reduction from 2.6% prevalence level in 2006 to 2.2% in 2007.,0
217,2008,H.E. John Agyekum Kufuor,The roads sector in particular is witnessing an incredible level of development unprecedented in the history of this country.,1
218,2008,H.E. John Agyekum Kufuor,"Since 2001, over 1,000 km of feeder roads have been surfaced nation-wide.",1
219,2008,H.E. John Agyekum Kufuor,"About 4,800 km have undergone rehabilitation.",1
220,2008,H.E. John Agyekum Kufuor,"10,000 km have undergone spot improvement.",1
221,2008,H.E. John Agyekum Kufuor,"2,300 have been re-graveled.",1
